timestamp_paris,date,jour,heure,type_jour,pourcentage,statut
2026-09-24 14:57,2026-09-24,jeudi,14:57,semaine,,erreur_technique
2026-09-24 15:04,2026-09-24,jeudi,15:04,semaine,17,ok
2026-09-24 15:15,2026-09-24,jeudi,15:15,semaine,18,ok
2026-09-24 15:44,2026-09-24,jeudi,15:44,semaine,19,ok
2026-09-24 16:14,2026-09-24,jeudi,16:14,semaine,18,ok
2026-09-24 16:44,2026-09-24,jeudi,16:44,semaine,15,ok
2026-09-24 17:15,2026-09-24,jeudi,17:15,semaine,14,ok
2026-09-24 17:42,2026-09-24,jeudi,17:42,semaine,15,ok
2026-09-24 18:14,2026-09-24,jeudi,18:14,semaine,14,ok
2026-09-24 18:42,2026-09-24,jeudi,18:42,semaine,16,ok
2026-09-24 19:12,2026-09-24,jeudi,19:12,semaine,16,ok
2026-09-24 19:40,2026-09-24,jeudi,19:40,semaine,19,ok
2026-09-24 20:16,2026-09-24,jeudi,20:16,semaine,22,ok
2026-09-24 20:44,2026-09-24,jeudi,20:44,semaine,19,ok
2026-09-24 21:12,2026-09-24,jeudi,21:12,semaine,13,ok
2026-09-25 10:43,2026-09-25,vendredi,10:43,semaine,18,ok
2026-09-25 11:14,2026-09-25,vendredi,11:14,semaine,23,ok
2026-09-25 11:42,2026-09-25,vendredi,11:42,semaine,25,ok
2026-09-25 12:13,2026-09-25,vendredi,12:13,semaine,24,ok
2026-09-25 12:42,2026-09-25,vendredi,12:42,semaine,20,ok
2026-09-25 13:13,2026-09-25,vendredi,13:13,semaine,18,ok
2026-09-25 13:42,2026-09-25,vendredi,13:42,semaine,17,ok
2026-09-25 14:17,2026-09-25,vendredi,14:17,semaine,18,ok
2026-09-25 14:47,2026-09-25,vendredi,14:47,semaine,27,ok
2026-09-25 15:15,2026-09-25,vendredi,15:15,semaine,30,ok
